Index,Name,Time,Quantity,Height,Area,Area %,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,[Min],[% Area],[µV],[µV.Min],[%],,,
1,UNKNOWN_2,0.97,98.93,763433892.9,6096123.9,98.928,,,
14,UNKNOWN,6.73,0,494.3,17.5,0,,,
15,UNKNOWN_7,6.9,0,718.8,22.4,0,,,
16,UNKNOWN_8,6.96,0,1804,61.8,0.001,,,
2,UNKNOWN,7.28,0,3099.4,93.5,0.002,,66043.79999999981,Ais
3,SI,7.46,0.97,723076.2,59789.9,0.97,,0.9053067812572894,
17,UNKNOWN_9,7.7,0,646.4,18.7,0,,,
18,UNKNOWN,7.75,0,214.2,26.2,0,,,
4,UNKNOWN_10,7.9,0,2665.4,47.5,0.001,,,
19,UNKNOWN,7.92,0,6569.6,189.8,0.003,,,
5,UNKNOWN_11,8.03,0,3641.1,111.4,0.002,,,
6,UNKNOWN,8.18,0,9400.1,200.6,0.003,,,
7,UNKNOWN_12,8.47,0,321.9,29,0,,,
8,UNKNOWN_13,9.33,0,4550.2,199.1,0.003,,,
20,UNKNOWN,9.42,0.01,9917.5,555.8,0.009,,,
9,UNKNOWN,10.07,0,2285.6,159,0.003,,,
10,UNKNOWN,10.92,0.01,9394.7,878.2,0.014,,0.013297236076664313,
11,UNKNOWN,11.12,0.03,13906.2,1756,0.028,,0.026588415566639184,
12,UNKNOWN,11.45,0.01,5513.7,705.3,0.011,,0.010679276480154109,
13,UNKNOWN,11.78,0.02,8686.9,1181.9,0.019,,0.017895699520621214,
,,,,,,,,,
Total,-,-,100,764240799.2,6162167.7,100,,,
