Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.97,59.39,411724964.2,2753342.4,59.394
2,heptano,1.33,0.01,2171.9,304.6,0.007
3,UNKNOWN_4,2.26,0.01,2176.6,557.4,0.012
4,UNKNOWN,4.93,0,1045.1,189.9,0.004
5,UNKNOWN_6,5.91,0.01,4952.9,484.9,0.01
6,UNKNOWN,6.15,0,629.3,50.5,0.001
7,UNKNOWN,6.58,0.06,41576.2,2709.2,0.058
8,UNKNOWN,6.73,0,3944.9,204.9,0.004
9,UNKNOWN_7,6.86,0.01,10827.6,518.3,0.011
35,UNKNOWN_8,6.95,0.02,16134.5,807.3,0.017
10,UNKNOWN,7.06,3.29,1161751.4,152671,3.293
36,UNKNOWN,7.41,0.07,68508.7,3440.6,0.074
11,UNKNOWN,7.48,0.01,33499.8,607.6,0.013
37,UNKNOWN,7.51,1.12,485668.6,51956.4,1.121
12,UNKNOWN_9,7.72,0.43,397766.7,19745.7,0.426
38,UNKNOWN,7.76,0.08,442857.8,3799.1,0.082
39,UNKNOWN_11,8.05,32.96,4390669.9,1528012.7,32.962
13,UNKNOWN,8.32,1.04,599854.1,48388,1.044
40,UNKNOWN_12,8.49,0.01,19231.4,471.6,0.01
14,UNKNOWN,8.58,0.13,300526,5988.6,0.129
41,UNKNOWN,8.6,0.36,288039.5,16756.4,0.361
15,UNKNOWN,8.79,0.03,34845.3,1476,0.032
43,UNKNOWN,8.89,0.01,4452,237.5,0.005
16,UNKNOWN,8.96,0.01,5815.8,255.8,0.006
44,UNKNOWN,9.01,0.01,13561.7,542.7,0.012
17,UNKNOWN,9.12,0,3021.8,221.7,0.005
45,UNKNOWN,9.18,0.01,4185.2,270.4,0.006
46,UNKNOWN_13,9.25,0.01,4715,250.9,0.005
18,UNKNOWN,9.4,0.03,55101,1500.5,0.032
42,UNKNOWN,9.42,0.21,131072,9725.2,0.21
19,UNKNOWN_1,9.65,0.05,16059.4,2164.4,0.047
20,UNKNOWN,9.85,0.01,3887.4,289,0.006
21,UNKNOWN,9.96,0.01,10331.3,617.7,0.013
22,UNKNOWN,10.15,0.05,15686.9,2280.8,0.049
23,UNKNOWN,10.57,0.06,16989.5,2562.2,0.055
24,UNKNOWN_14,10.77,0.05,20206.8,2092.6,0.045
25,UNKNOWN,10.98,0.14,38321.4,6367.9,0.137
26,UNKNOWN,11.17,0.05,16493.9,2238.4,0.048
47,UNKNOWN,11.37,0.01,5207,453.9,0.01
27,UNKNOWN,11.5,0.03,8204.2,1165.8,0.025
28,UNKNOWN,11.82,0.03,8930.2,1587.5,0.034
29,UNKNOWN,12.15,0.02,12269.2,728.5,0.016
48,UNKNOWN,12.21,0.07,17830,3255.9,0.07
30,UNKNOWN,12.58,0.05,11826.8,2383.5,0.051
31,UNKNOWN,13.1,0.01,2373.9,382.1,0.008
32,UNKNOWN,13.23,0.01,3177.6,555.5,0.012
33,UNKNOWN,13.55,0.01,2889.6,467,0.01
34,UNKNOWN,14.11,0.01,2776.6,612.1,0.013
,,,,,,
Total,-,-,100,420467028.7,4635692.5,100
